algorithm1,algorithm2,label
F45_GrayCode/A15_F45_O_A05_Alias,F45_GrayCode/A18_F45_O_A06_PtrIndirection,1
F05_Sqrt/A10_F05_S_Linear,F43_IsPowerOfTwo/A04_F43_S_MathLog,0
F05_Sqrt/A17_F05_O_A16_XORTable,F03_Factorial/A14_F03_S_Decrement,0
F17_ArrayRotate/A11_F17_O_A03_Opaque,F17_ArrayRotate/A20_F17_O_A03_Pointer,1
F21_ShellSort/A16_F21_O_A01_StepMod,F21_ShellSort/A20_F21_O_A06_BitLogic,1
F31_WordCount/A09_F31_O_A01_Flattening,F23_LinearSearch/A09_F23_O_A02_TernaryRec,0
F27_StrCmp/A15_F27_O_A01_Struct,F27_StrCmp/A16_F27_O_A08_FlatMachine,1
F17_ArrayRotate/A16_F17_O_A07_Flat,F38_ReverseWords/A03_F38_S_StackSim,0
F46_Base64Encode/A08_F46_O_A04_CFP,F04_Fibonacci/A09_F04_O_A01_OpaquePredicate,0
F04_Fibonacci/A03_F04_S_BinetFormula,F04_Fibonacci/A12_F04_O_A01_BackwardIteration,1
F50_IntToRoman/A06_F50_O_A05_Goto,F50_IntToRoman/A17_F50_S_Duo_Array_Index,1
F25_ArrayAverage/A11_F25_O_A01_DoubleNeg,F29_AnagramCheck/A05_F29_S_BitwiseXorSum,0
F33_LCP/A08_F33_O_A01_CFP_Switch,F33_LCP/A12_F33_O_A01_DoubleNegation,1
F46_Base64Encode/A20_F46_O_A04_BitNot,F33_LCP/A04_F33_S_BinarySearch,0
F31_WordCount/A10_F31_O_A03_Opaque,F43_IsPowerOfTwo/A08_F43_S_LUT,0
F23_LinearSearch/A02_F23_S_Recursive,F23_LinearSearch/A16_F23_O_A03_DuffDevice,1
F40_HexToInt/A04_F40_S_Recursive,F40_HexToInt/A20_F40_O_A05_MathNoise,1
F05_Sqrt/A16_F05_S_TableLookup,F44_ByteSwap/A18_F44_O_A17_Unrolled_Loop,0
F23_LinearSearch/A04_F23_S_TwoWay,F28_IsPalindrome/A18_F28_O_A05_MathIdentity,0
F50_IntToRoman/A01_F50_S_Greedy_Arrays,F50_IntToRoman/A11_F50_S_Bitwise_Simulated_Reduction,1
F25_ArrayAverage/A03_F25_S_PointerArithmetic,F25_ArrayAverage/A06_F25_S_Backwards,1
F29_AnagramCheck/A01_F29_S_FreqArray,F14_ArrayReverse/A08_F14_S_Iterators,0
F36_CaseToggle/A13_F36_O_A01_BitwiseSub,F38_ReverseWords/A10_F38_O_A01_VarSplit,0
F20_SelectionSort/A10_F20_O_A03_Ternary,F27_StrCmp/A08_F27_S_LibStyle,0
F17_ArrayRotate/A07_F17_S_Cyclic,F48_RLEEncode/A12_F48_O_A01_DoubleNegation,0
F11_BinarySearch/A12_F11_O_A01_Bitshift,F11_BinarySearch/A19_F11_O_A03_Struct,1
F21_ShellSort/A09_F21_O_A01_Goto,F21_ShellSort/A10_F21_O_A01_Flatten,1
F12_BubbleSort/A01_F12_S_StandardIterative,F49_CaesarCipher/A02_F49_S_PtrArithmetic,0
F14_ArrayReverse/A04_F14_S_Stack,F14_ArrayReverse/A08_F14_S_Iterators,1
F20_SelectionSort/A12_F20_O_A02_Bitwise,F40_HexToInt/A05_F40_S_PtrMath,0
F23_LinearSearch/A16_F23_O_A03_DuffDevice,F45_GrayCode/A18_F45_O_A06_PtrIndirection,0
F44_ByteSwap/A04_F44_O_A01_Flattening,F44_ByteSwap/A17_F44_S_Register_Simulation,1
F22_InsertionSort/A03_F22_S_Recursive,F28_IsPalindrome/A13_F28_O_A06_PointerObf,0
F17_ArrayRotate/A06_F17_S_FullCopy,F19_RemoveDuplicates/A04_F19_S_PointerScan,0
F46_Base64Encode/A12_F46_O_A06_BitwiseSwap,F33_LCP/A05_F33_S_PointerArithmetic,0
F40_HexToInt/A02_F40_S_Bitshift,F33_LCP/A07_F33_O_A01_Goto,0
F46_Base64Encode/A06_F46_S_BitField,F46_Base64Encode/A18_F46_O_A01_DoubleNeg,1
F49_CaesarCipher/A09_F49_O_A01_OpaquePredicate,F42_HammingDistance/A15_F42_O_A07_Alias,0
F25_ArrayAverage/A05_F25_S_Unrolled,F25_ArrayAverage/A14_F25_O_A01_DummyLoop,1
F23_LinearSearch/A02_F23_S_Recursive,F38_ReverseWords/A02_F38_S_Recursion,0
F10_Log2/A10_F10_O_A02_Ternary,F28_IsPalindrome/A09_F28_O_A02_FakeControl,0
F30_SubStrFind/A07_F30_S_FirstCharJump,F30_SubStrFind/A19_F30_O_A01_LongLongAlign,1
F32_StrCompress/A01_F32_S_NaiveIter,F49_CaesarCipher/A19_F49_O_A04_ArrayPtrAccess,0
F25_ArrayAverage/A17_F25_O_A01_VarSplit,F48_RLEEncode/A17_F48_O_A05_Bitwise,0
F39_TitleCase/A11_F39_O_A02_Goto,F42_HammingDistance/A12_F42_O_A06_Arith,0
F49_CaesarCipher/A03_F49_S_Recursive,F49_CaesarCipher/A13_F49_O_A02_PtrIndirection,1
F45_GrayCode/A06_F45_S_LUT,F45_GrayCode/A11_F45_O_A01_VarSplit,1
F47_XorCipher/A11_F47_O_A06_Math,F47_XorCipher/A16_F47_O_A01_Arithmetic,1
F12_BubbleSort/A18_F12_O_A01_DoubleArray,F11_BinarySearch/A13_F11_O_A01_VarSplit,0
F12_BubbleSort/A12_F12_S_QsortWrapper,F31_WordCount/A10_F31_O_A03_Opaque,0
F23_LinearSearch/A21_F23_O_A05_PtrOffset,F28_IsPalindrome/A13_F28_O_A06_PointerObf,0
F14_ArrayReverse/A16_F14_O_A08_Flat,F14_ArrayReverse/A21_F14_O_A02_TailRec,1
F05_Sqrt/A15_F05_O_A14_Ternary,F05_Sqrt/A19_F05_O_A06_Indirect,1
F17_ArrayRotate/A14_F17_O_A01_Dummy,F44_ByteSwap/A02_F44_S_Union_Mapping,0
F32_StrCompress/A17_F32_O_A04_StaticBuf,F03_Factorial/A06_F03_S_TailRecursive,0
F46_Base64Encode/A12_F46_O_A06_BitwiseSwap,F01_Sum/A18_F01_S_DualPointer,0
F40_HexToInt/A18_F40_O_A01_DoubleNeg,F40_HexToInt/A20_F40_O_A05_MathNoise,1
F30_SubStrFind/A06_F30_S_LibraryWrapper,F40_HexToInt/A08_F40_O_A01_Flattening,0
F28_IsPalindrome/A14_F28_O_A01_IncrementConfusion,F28_IsPalindrome/A19_F28_O_A01_WhileTrueSplit,1
F36_CaseToggle/A14_F36_O_A05_TernaryRec,F45_GrayCode/A08_F45_O_A01_Flattening,0
F34_CharFrequency/A18_F34_O_A08_StateFlag,F50_IntToRoman/A02_F50_S_Hardcoded_PlaceValues,0
F28_IsPalindrome/A09_F28_O_A02_FakeControl,F28_IsPalindrome/A18_F28_O_A05_MathIdentity,1
F27_StrCmp/A06_F27_S_WaitPass,F27_StrCmp/A15_F27_O_A01_Struct,1
F38_ReverseWords/A19_F38_O_A01_StepMod,F38_ReverseWords/A20_F38_O_A02_RecursivePointer,1
F40_HexToInt/A15_F40_O_A07_DecoySwitch,F40_HexToInt/A20_F40_O_A05_MathNoise,1
F34_CharFrequency/A16_F34_O_A06_PtrMap,F23_LinearSearch/A06_F23_S_BitwiseCheck,0
F17_ArrayRotate/A14_F17_O_A01_Dummy,F31_WordCount/A09_F31_O_A01_Flattening,0
F43_IsPowerOfTwo/A08_F43_S_LUT,F43_IsPowerOfTwo/A17_F43_O_A05_TernaryChain,1
F01_Sum/A21_F01_O_A20_Encrypted,F33_LCP/A08_F33_O_A01_CFP_Switch,0
F25_ArrayAverage/A09_F25_O_A01_FloatIntermediate,F25_ArrayAverage/A17_F25_O_A01_VarSplit,1
F50_IntToRoman/A04_F50_O_A01_Flattening,F50_IntToRoman/A20_F50_O_A05_LongLong_Expansion,1
F05_Sqrt/A05_F05_O_A04_Opaque,F05_Sqrt/A18_F05_O_A01_DoubleVar,1
F11_BinarySearch/A01_F11_S_Iterative,F11_BinarySearch/A21_F11_O_A02_Trampoline,1
F14_ArrayReverse/A02_F14_S_Recursive,F28_IsPalindrome/A04_F28_S_StackLogic,0
F46_Base64Encode/A08_F46_O_A04_CFP,F46_Base64Encode/A17_F46_O_A06_LogicInvert,1
F48_RLEEncode/A07_F48_O_A01_Goto,F28_IsPalindrome/A11_F28_O_A04_OpaquePredicate,0
F03_Factorial/A03_F03_O_A01_Goto,F03_Factorial/A08_F03_S_DP_Table,1
F25_ArrayAverage/A12_F25_O_A03_BitwisePtr,F14_ArrayReverse/A09_F14_O_A01_Flattening,0
F14_ArrayReverse/A13_F14_O_A01_VarSplit,F38_ReverseWords/A13_F38_O_A04_Bitwise,0
F12_BubbleSort/A16_F12_S_JumpTable,F10_Log2/A04_F10_S_BinarySearch,0
F13_QuickSort/A02_F13_S_HoarePartition,F11_BinarySearch/A03_F11_S_Deferred,0
F26_StrLen/A02_F26_O_A01_Flat,F11_BinarySearch/A05_F11_S_Exponential,0
F17_ArrayRotate/A07_F17_S_Cyclic,F17_ArrayRotate/A13_F17_O_A06_VarSplit,1
F43_IsPowerOfTwo/A03_F43_S_Popcount,F28_IsPalindrome/A18_F28_O_A05_MathIdentity,0
F43_IsPowerOfTwo/A04_F43_S_MathLog,F43_IsPowerOfTwo/A18_F43_O_A01_DoubleNegation,1
F23_LinearSearch/A09_F23_O_A02_TernaryRec,F23_LinearSearch/A10_F23_O_A02_OpaquePredicate,1
F10_Log2/A01_F10_S_ShiftCount,F31_WordCount/A16_F31_O_A04_Redundant,0
F42_HammingDistance/A05_F42_S_Recursive,F42_HammingDistance/A09_F42_O_A03_Opaque,1
F22_InsertionSort/A03_F22_S_Recursive,F22_InsertionSort/A17_F22_O_A01_WhileTrue,1
F46_Base64Encode/A18_F46_O_A01_DoubleNeg,F30_SubStrFind/A01_F30_S_NaiveIter,0
F43_IsPowerOfTwo/A10_F43_O_A02_Opaque,F43_IsPowerOfTwo/A13_F43_O_A06_InstrReplace,1
F01_Sum/A15_F01_O_A13_SplitVar,F01_Sum/A18_F01_S_DualPointer,1
F17_ArrayRotate/A16_F17_O_A07_Flat,F45_GrayCode/A08_F45_O_A01_Flattening,0
F05_Sqrt/A14_F05_S_Recursive,F05_Sqrt/A20_F05_O_A10_SwitchLoop,1
F42_HammingDistance/A20_F42_O_A01_Identity,F33_LCP/A08_F33_O_A01_CFP_Switch,0
F39_TitleCase/A09_F39_O_A01_Flattening,F39_TitleCase/A12_F39_O_A05_VarSplit,1
F50_IntToRoman/A03_F50_S_Recursive_Decomposition,F50_IntToRoman/A04_F50_O_A01_Flattening,1
F12_BubbleSort/A19_F12_O_A04_TailRec,F21_ShellSort/A16_F21_O_A01_StepMod,0
F25_ArrayAverage/A06_F25_S_Backwards,F23_LinearSearch/A08_F23_O_A01_CFP_Switch,0
F39_TitleCase/A19_F39_O_A01_NestedState,F47_XorCipher/A07_F47_O_A01_Goto,0
F34_CharFrequency/A08_F34_S_SwitchLogic,F37_TrimSpace/A11_F37_O_A05_Goto,0
F36_CaseToggle/A10_F36_O_A02_Opaque,F36_CaseToggle/A17_F36_O_A01_DoubleLoop,1
F42_HammingDistance/A21_F42_O_A03_Flatten_Opaque,F45_GrayCode/A01_F45_S_Classic,0
F25_ArrayAverage/A21_F25_O_A01_Arithmetic,F23_LinearSearch/A21_F23_O_A05_PtrOffset,0
F24_ArraySum/A14_F24_O_A01_DummyLoop,F33_LCP/A17_F33_O_A01_Unroll,0
F32_StrCompress/A08_F32_S_LibraryPointer,F32_StrCompress/A21_F32_O_A01_LongLong,1
F17_ArrayRotate/A07_F17_S_Cyclic,F17_ArrayRotate/A10_F17_O_A04_Goto,1
F43_IsPowerOfTwo/A10_F43_O_A02_Opaque,F33_LCP/A06_F33_S_RecursiveStep,0
F43_IsPowerOfTwo/A16_F43_O_A08_PtrAlias,F37_TrimSpace/A03_F37_S_Recursive,0
F17_ArrayRotate/A11_F17_O_A03_Opaque,F25_ArrayAverage/A06_F25_S_Backwards,0
F12_BubbleSort/A17_F12_O_A16_Switch,F04_Fibonacci/A01_F04_S_Iterative,0
F04_Fibonacci/A14_F04_O_A01_VariableSplitting,F04_Fibonacci/A15_F04_O_A06_BitwiseShiftReplace,1
F48_RLEEncode/A11_F48_O_A05_MathIdent,F48_RLEEncode/A16_F48_O_A02_StackSim,1
F46_Base64Encode/A18_F46_O_A01_DoubleNeg,F46_Base64Encode/A19_F46_O_A02_RecursiveFlatten,1
F47_XorCipher/A16_F47_O_A01_Arithmetic,F38_ReverseWords/A19_F38_O_A01_StepMod,0
F36_CaseToggle/A13_F36_O_A01_BitwiseSub,F36_CaseToggle/A21_F36_O_A01_PtrCast,1
F17_ArrayRotate/A18_F17_O_A04_WhileTrue,F13_QuickSort/A11_F13_O_A02_DoubleNegation,0
F42_HammingDistance/A18_F42_O_A05_FakeLoop,F37_TrimSpace/A04_F37_S_MemmoveLogic,0
F29_AnagramCheck/A05_F29_S_BitwiseXorSum,F29_AnagramCheck/A20_F29_O_A04_IterativeRec,1
F04_Fibonacci/A04_F04_S_Memoization,F04_Fibonacci/A17_F04_O_A02_TailRecursionSim,1
F27_StrCmp/A11_F27_O_A01_Opaque,F21_ShellSort/A17_F21_O_A03_LogicInvert,0
F29_AnagramCheck/A01_F29_S_FreqArray,F29_AnagramCheck/A03_F29_S_PrimeProduct,1
F24_ArraySum/A05_F24_S_UnrolledFour,F04_Fibonacci/A08_F04_O_A01_GotoReconstruction,0
F47_XorCipher/A07_F47_O_A01_Goto,F47_XorCipher/A18_F47_O_A02_RecursiveFlatten,1
F24_ArraySum/A01_F24_S_LinearFor,F30_SubStrFind/A08_F30_S_BitwiseXorVerification,0
F24_ArraySum/A01_F24_S_LinearFor,F34_CharFrequency/A13_F34_O_A05_BitwiseSub,0
F44_ByteSwap/A11_F44_S_BitField,F14_ArrayReverse/A08_F14_S_Iterators,0
F22_InsertionSort/A02_F22_S_BinaryInsertion,F22_InsertionSort/A16_F22_O_A01_Opaque,1
F32_StrCompress/A05_F32_S_Lookback,F32_StrCompress/A18_F32_O_A03_TailRec,1
F29_AnagramCheck/A17_F29_O_A06_StaticChaos,F29_AnagramCheck/A19_F29_O_A01_DoubleArray,1
F34_CharFrequency/A11_F34_O_A01_Goto,F50_IntToRoman/A21_F50_S_Modulo_Recursive,0
F27_StrCmp/A20_F27_O_A03_TailRec,F22_InsertionSort/A13_F22_O_A05_LogicWrap,0
F40_HexToInt/A18_F40_O_A01_DoubleNeg,F50_IntToRoman/A15_F50_S_Two_Pointer_Scan,0
F21_ShellSort/A09_F21_O_A01_Goto,F21_ShellSort/A12_F21_O_A01_VarSplit,1
F34_CharFrequency/A16_F34_O_A06_PtrMap,F28_IsPalindrome/A10_F28_O_A03_VarSplit,0
F29_AnagramCheck/A10_F29_O_A01_Opaque,F29_AnagramCheck/A14_F29_O_A05_Redundant,1
F26_StrLen/A04_F26_S_Recursive,F31_WordCount/A15_F31_O_A08_PtrWrap,0
F05_Sqrt/A01_F05_S_Newton,F05_Sqrt/A19_F05_O_A06_Indirect,1
F25_ArrayAverage/A10_F25_O_A01_MathLogic,F25_ArrayAverage/A11_F25_O_A01_DoubleNeg,1
F10_Log2/A14_F10_O_A01_Unroll,F32_StrCompress/A12_F32_O_A01_VarSplit,0
F13_QuickSort/A08_F13_O_A01_CFP,F13_QuickSort/A19_F13_O_A03_PtrOffset,1
F11_BinarySearch/A04_F11_S_LibWrapper,F11_BinarySearch/A07_F11_S_Bitwise,1
F25_ArrayAverage/A02_F25_S_IncrementalMean,F25_ArrayAverage/A17_F25_O_A01_VarSplit,1
F22_InsertionSort/A11_F22_O_A01_Bitwise,F22_InsertionSort/A13_F22_O_A05_LogicWrap,1
F30_SubStrFind/A03_F30_S_RollingHash,F30_SubStrFind/A11_F30_O_A02_Goto,1
F40_HexToInt/A02_F40_S_Bitshift,F11_BinarySearch/A16_F11_O_A05_Flat,0
F44_ByteSwap/A17_F44_S_Register_Simulation,F03_Factorial/A21_F03_O_A20_JumpTable,0
F33_LCP/A08_F33_O_A01_CFP_Switch,F33_LCP/A17_F33_O_A01_Unroll,1
F19_RemoveDuplicates/A01_F19_S_DoubleLoop,F19_RemoveDuplicates/A06_F19_S_FlagMap,1
F21_ShellSort/A11_F21_O_A02_Opaque,F21_ShellSort/A21_F21_O_A01_StackSim,1
F33_LCP/A01_F33_S_Vertical,F33_LCP/A02_F33_S_Horizontal,1
F05_Sqrt/A04_F05_S_BinarySearch,F05_Sqrt/A21_F05_O_A04_JumpTable,1
F30_SubStrFind/A02_F30_S_PointerArithmetic,F30_SubStrFind/A09_F30_O_A01_Flattening,1
F19_RemoveDuplicates/A17_F19_O_A01_Unroll,F42_HammingDistance/A10_F42_O_A01_Goto,0
F46_Base64Encode/A02_F46_S_Recursive,F46_Base64Encode/A12_F46_O_A06_BitwiseSwap,1
F34_CharFrequency/A02_F34_S_PointerWalk,F14_ArrayReverse/A02_F14_S_Recursive,0
F36_CaseToggle/A12_F36_O_A02_VarSplit,F14_ArrayReverse/A15_F14_O_A01_Struct,0
F31_WordCount/A08_F31_S_MemchrSim,F31_WordCount/A09_F31_O_A01_Flattening,1
F26_StrLen/A13_F26_O_A01_Struct,F27_StrCmp/A15_F27_O_A01_Struct,0
F01_Sum/A12_F01_O_A10_DoWhile,F14_ArrayReverse/A14_F14_O_A03_Dummy,0
F32_StrCompress/A12_F32_O_A01_VarSplit,F32_StrCompress/A19_F32_O_A01_DoubleLoop,1
F20_SelectionSort/A04_F20_S_DualSelection,F19_RemoveDuplicates/A19_F19_O_A01_WhileTrue,0
F44_ByteSwap/A07_F44_S_Recursion,F34_CharFrequency/A09_F34_O_A01_Flattening,0
F19_RemoveDuplicates/A16_F19_O_A06_Opaque,F19_RemoveDuplicates/A20_F19_O_A04_IncrConfusion,1
F01_Sum/A04_F01_S_Recursive,F01_Sum/A05_F01_O_A04_Opaque,1
F17_ArrayRotate/A12_F17_O_A01_Arithmetic,F22_InsertionSort/A09_F22_O_A06_MathIdent,0
F27_StrCmp/A04_F27_S_LengthCheck,F03_Factorial/A14_F03_S_Decrement,0
F20_SelectionSort/A06_F20_S_InvertedLoop,F01_Sum/A01_F01_S_Loop,0
F26_StrLen/A13_F26_O_A01_Struct,F05_Sqrt/A06_F05_S_BitByBit,0
F19_RemoveDuplicates/A09_F19_O_A05_Ternary,F19_RemoveDuplicates/A17_F19_O_A01_Unroll,1
F26_StrLen/A03_F26_S_PointerDiff,F26_StrLen/A14_F26_O_A04_DivideConquer,1
F39_TitleCase/A05_F39_S_ManualRange,F39_TitleCase/A09_F39_O_A01_Flattening,1
F44_ByteSwap/A11_F44_S_BitField,F50_IntToRoman/A21_F50_S_Modulo_Recursive,0
F29_AnagramCheck/A04_F29_S_RecursiveCompare,F29_AnagramCheck/A10_F29_O_A01_Opaque,1
F23_LinearSearch/A07_F23_O_A01_Goto,F47_XorCipher/A04_F47_S_TwoWay,0
F27_StrCmp/A02_F27_S_ArrayIndex,F27_StrCmp/A16_F27_O_A08_FlatMachine,1
F34_CharFrequency/A07_F34_S_DivideConquer,F34_CharFrequency/A16_F34_O_A06_PtrMap,1
F20_SelectionSort/A15_F20_O_A01_Unroll,F03_Factorial/A18_F03_S_DoubleLoop,0
F40_HexToInt/A16_F40_O_A01_ArithIdentity,F40_HexToInt/A17_F40_O_A04_RecursiveJump,1
F24_ArraySum/A02_F24_S_PointerArithmetic,F24_ArraySum/A10_F24_O_A03_Ternary,1
F32_StrCompress/A07_F32_S_Sentinel,F19_RemoveDuplicates/A04_F19_S_PointerScan,0
F36_CaseToggle/A08_F36_S_Branchless,F43_IsPowerOfTwo/A12_F43_O_A01_VarSplit,0
F27_StrCmp/A02_F27_S_ArrayIndex,F47_XorCipher/A01_F47_S_BasicIter,0
F28_IsPalindrome/A16_F28_O_A02_RecursiveFlatten,F28_IsPalindrome/A20_F28_O_A06_DoublePointer,1
F44_ByteSwap/A19_F44_S_DuoPointer,F37_TrimSpace/A02_F37_S_BufferCopy,0
F19_RemoveDuplicates/A11_F19_O_A01_DoubleNegation,F19_RemoveDuplicates/A14_F19_O_A01_MathIdent,1
F11_BinarySearch/A06_F11_S_Fibonacci,F11_BinarySearch/A12_F11_O_A01_Bitshift,1
F26_StrLen/A03_F26_S_PointerDiff,F26_StrLen/A06_F26_S_Block4,1
F17_ArrayRotate/A14_F17_O_A01_Dummy,F39_TitleCase/A05_F39_S_ManualRange,0
F12_BubbleSort/A14_F12_S_OddEvenSort,F31_WordCount/A07_F31_S_FlagToggle,0
F10_Log2/A01_F10_S_ShiftCount,F39_TitleCase/A11_F39_O_A02_Goto,0
F40_HexToInt/A14_F40_O_A05_LongLong,F40_HexToInt/A18_F40_O_A01_DoubleNeg,1
F42_HammingDistance/A21_F42_O_A03_Flatten_Opaque,F48_RLEEncode/A14_F48_O_A01_Unroll,0
F25_ArrayAverage/A03_F25_S_PointerArithmetic,F47_XorCipher/A08_F47_O_A01_CFP,0
F12_BubbleSort/A14_F12_S_OddEvenSort,F47_XorCipher/A14_F47_O_A04_DummyLoop,0
F20_SelectionSort/A13_F20_O_A01_LogicWrap,F48_RLEEncode/A02_F48_S_Recursive,0
F22_InsertionSort/A04_F22_S_PointerArithmetic,F22_InsertionSort/A09_F22_O_A06_MathIdent,1
F27_StrCmp/A12_F27_O_A05_Arithmetic,F23_LinearSearch/A18_F23_O_A06_BitwiseNegation,0
F32_StrCompress/A18_F32_O_A03_TailRec,F14_ArrayReverse/A06_F14_S_Pointers,0
F23_LinearSearch/A14_F23_O_A06_DoubleNegation,F23_LinearSearch/A20_F23_O_A01_IncrementConfusion,1
F12_BubbleSort/A06_F12_S_EarlyExit,F12_BubbleSort/A07_F12_O_A06_Opaque,1
F13_QuickSort/A02_F13_S_HoarePartition,F43_IsPowerOfTwo/A05_F43_S_Recursive,0
F26_StrLen/A03_F26_S_PointerDiff,F50_IntToRoman/A12_F50_O_A11_JunkCode,0
F32_StrCompress/A02_F32_S_TwoPointers,F32_StrCompress/A06_F32_S_MemchrLogic,1
F39_TitleCase/A11_F39_O_A02_Goto,F34_CharFrequency/A09_F34_O_A01_Flattening,0
F34_CharFrequency/A09_F34_O_A01_Flattening,F31_WordCount/A18_F31_O_A01_LongLong,0
F36_CaseToggle/A11_F36_O_A01_Goto,F38_ReverseWords/A12_F38_O_A02_TailRec,0
F40_HexToInt/A16_F40_O_A01_ArithIdentity,F31_WordCount/A11_F31_O_A04_Goto,0
F17_ArrayRotate/A11_F17_O_A03_Opaque,F13_QuickSort/A08_F13_O_A01_CFP,0
F29_AnagramCheck/A15_F29_O_A02_NestedFlatten,F03_Factorial/A04_F03_S_Recursive,0
F21_ShellSort/A07_F21_S_LinearScan,F21_ShellSort/A08_F21_S_SedgewickLow,1
F04_Fibonacci/A08_F04_O_A01_GotoReconstruction,F37_TrimSpace/A16_F37_O_A01_Redundant,0
F05_Sqrt/A02_F05_O_A01_Flat,F05_Sqrt/A12_F05_S_OddSubtraction,1
F05_Sqrt/A10_F05_S_Linear,F03_Factorial/A20_F03_S_Indirect,0
F39_TitleCase/A07_F39_S_Strtok,F31_WordCount/A20_F31_O_A04_NestedWhile,0
F42_HammingDistance/A04_F42_S_Builtin,F42_HammingDistance/A05_F42_S_Recursive,1
F10_Log2/A13_F10_O_A06_Bitwise,F43_IsPowerOfTwo/A04_F43_S_MathLog,0
F30_SubStrFind/A04_F30_S_ReverseSearch,F30_SubStrFind/A15_F30_O_A01_LoopUnroll,1
F25_ArrayAverage/A14_F25_O_A01_DummyLoop,F25_ArrayAverage/A16_F25_O_A06_WhileTrue,1
F10_Log2/A13_F10_O_A06_Bitwise,F10_Log2/A14_F10_O_A01_Unroll,1
F19_RemoveDuplicates/A07_F19_O_A01_Goto,F23_LinearSearch/A18_F23_O_A06_BitwiseNegation,0
F19_RemoveDuplicates/A13_F19_O_A04_PtrOffset,F19_RemoveDuplicates/A15_F19_O_A05_JumpTable,1
F03_Factorial/A01_F03_S_Iterative,F38_ReverseWords/A15_F38_O_A01_DoublePtr,0
F05_Sqrt/A14_F05_S_Recursive,F05_Sqrt/A16_F05_S_TableLookup,1
F33_LCP/A05_F33_S_PointerArithmetic,F14_ArrayReverse/A15_F14_O_A01_Struct,0
F34_CharFrequency/A12_F34_O_A01_VarSplit,F03_Factorial/A12_F03_S_GammaApprox,0
F39_TitleCase/A03_F39_S_Recursive,F39_TitleCase/A18_F39_O_A04_XORLogic,1
F27_StrCmp/A04_F27_S_LengthCheck,F27_StrCmp/A12_F27_O_A05_Arithmetic,1
F24_ArraySum/A04_F24_S_DivideAndConquer,F24_ArraySum/A18_F24_O_A05_VarSplit,1
F11_BinarySearch/A01_F11_S_Iterative,F11_BinarySearch/A04_F11_S_LibWrapper,1
